name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Coyner's Springs Female Institute,"""Coyner's Springs Female Institute""",1867,,Broadsides Collection,"Price List', 'Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4r787f5g,,,"""Coyner's Spring's Female Institute"""
E. Ball's Improved Reaper and Mower,"""E. Ball's Improved Reaper and Mower""",1867,reapers and mowers,Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4mk66z19,,,S. M. Brua
Gold Metal Perfumery,Gold Metal Perfumery,1867,,Broadsides Collection,Perfumes and Cosmetics,,,advertisements,https://idn.duke.edu/ark:/87924/r49g5j659,,,R. & G. A. Wright
Good News for the Sick !!,Good News for the Sick !!,1867,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r4kw5989v,lists diseases,,Dr. R. Porter
Great Bargains!!  Closing out at Cost!,Great Bargains!!  Closing out at Cost!,1867,,Broadsides Collection,"Price List', 'Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r4kw5993d,E-192,,Eccles & Douthit
Hermitage,Hermitage,1867,,Broadsides Collection,"Price List', 'Land and Homes",,,advertisements,https://idn.duke.edu/ark:/87924/r4930qm0n,,,"Samuel Kennerly, Jr. M.D."
Land Agency,Land Agency,1867,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4s46jz3g,F-264,,Henry & Eastmond
Masonic Collegiate Institute,Masonic Collegiate Institute,1867,,Broadsides Collection,"Price List', 'Education and Men",,,advertisements,https://idn.duke.edu/ark:/87924/r4w66c23c,Institute is under the patronage of the Masonic Fraternity,,Masonic Collegiate Institute
New Orleans Dental College,New Orleans Dental College,1867,,Broadsides Collection,Education and Men,,,advertisements,https://idn.duke.edu/ark:/87924/r49k47h58,provides a list of Trustees and Faculty.,,New Orleans School of Medicine
"Prospectus Southern Society, A Weekly Journal of Literature, Society and Art.","Prospectus Southern Society, A Weekly Journal of Literature, Society and Art.",1867,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4g738w1d,prices for subscriptions listed.,,Southern Society
Rip van Winkle,Rip van Winkle,1867,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r49884b2r,primary ad on the first page; additional ads throughout other 3 pages,,Mobile Theatre
Savannah Medical College,Savannah Medical College,1867,,Broadsides Collection,"Price List', 'Education and Men",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4862d226,lists faculty,,Savannah Medical College
Still Open! The American Hotel,Still Open! The American Hotel,1867,,Broadsides Collection,Hotels and Restaurants,,,advertisements,https://idn.duke.edu/ark:/87924/r48p5x07w,,,American Hotel
The Great Charitable Presentation Concert,The Great Charitable Presentation Concert,1867,,Broadsides Collection,Charity,,,advertisements,https://idn.duke.edu/ark:/87924/r4kh0gq35,includes Gift List,,Southern Orphan Association
Washington Library Co.,Washington Library Co.,1867,,Broadsides Collection,"Price List', 'Lottery",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wj9j,includes Gift List,,Washington Library Co.
Druggists and Apothecaries,Druggists and Apothecaries,1868,,Broadsides Collection,"Price List', 'Medical",,,advertisements,https://idn.duke.edu/ark:/87924/r4qv3dw5c,in red and blue ink; revised trade circular addressed to druggists in the US and British Provinces,,Dr. J. J. Lawrence & Co.
Edwin Adams!,Edwin Adams!,1868,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cz33z1j,primary ad on the first page; various others throughout both pages,,Mobile Theatre
Fall Trade ! Marcus Harris & Brother,Fall Trade ! Marcus Harris & Brother,1868,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4bn9zt8b,cash only,,Marcus Harris & Brother
"Grady & Tully, Plain & Ornamental Plasterers","Grady & Tully, Plain & Ornamental Plasterers",1868,plastering,Advertising Ephemera Collection,Building Supplies,,,advertisements,https://idn.duke.edu/ark:/87924/r4wh2g452,"note on back of card to Edward Jones from Grady & Tully, with a price quote.",,Grady & Tully
Immigration Office,Immigration Office,1868,,Broadsides Collection,"Price List', 'Labor",,,advertisements,https://idn.duke.edu/ark:/87924/r48s4md6q,travel from NY,,Immigration Office
Montgomery's grain fan,"""Montgomery's grain fan""",1868,,Broadsides Collection,"Price List', 'African/African-American', 'Machinery and Tools",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4d50hm8n,,,"""Borum & M'Clean"""
More Whisky for Sale,More Whisky for Sale,1868,,Broadsides Collection,Alcohol,,,advertisements,https://idn.duke.edu/ark:/87924/r4gq6sv6j,,,"""J. I. Nissen's Store House"""
Mountain Top Hotel,Mountain Top Hotel,1868,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,advertisements,https://idn.duke.edu/ark:/87924/r4hq3ts0b,,,Mountain Top Hotel
New Series of English Law Reports,New Series of English Law Reports,1868,,Broadsides Collection,"Price List', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r45m63z0w,,,Law Booksellers and Publishers
The Southern Monthly Magazine,The Southern Monthly Magazine,1868,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r41j9903g,,,Southern Monthly Magazine
Useful Hints to the People,Useful Hints to the People,1868,Various businesses in Portsmouth,Advertising Ephemera Collection,Mercantile Business,,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4c24sb15,"""J. B. Hunter & Co., General Commission Merchants, Corner of High and Water Streets, Portsmouth, Virginia.""  Includes wide variety of information, including \'Sources of Money Making,\' \'To Ascertain the Weight of Live Cattle,\'Value of Confederate Money in Richmond...During the War.\'",,J. B. Hunter & Co.
Family Right,Family Right,circa 1868,"""Weedon's Excelsior Labor-Saving Washing compound""",Advertising Ephemera Collection,Toiletries,,,advertisements,https://idn.duke.edu/ark:/87924/r4ww78s68,,,H. W. Weedon
Wait's Hudson River Champion,"""Wait's Hudson River Champion""",circa 1868,Turbine Wheel,Advertising Ephemera Collection,Machinery and Instruments,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44t6gs8t,,,P. H. Wait
Gas Generated from Water,Gas Generated from Water,1869,,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4833pq4b,,,Howard Tilden
Homes For Immigrants.  Inducements Offered In West Tennessee.,Homes For Immigrants.  Inducements Offered In West Tennessee.,1869,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4833pq0d,item refers to Obion County land.,,Ford & Bentley
"Nebraska, The Garden of the West.  50 Million Acres Of Grain & Grazing Land","Nebraska, The Garden of the West.  50 Million Acres Of Grain & Grazing Land",1869,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4b85577d,"J. H. Noteware, State Superintdent of Immigration specifically mentioned.",,Nebraska State Department of Immigration
North Carolina College / Mont-Amena Female Seminary,North Carolina College / Mont-Amena Female Seminary,1869,,Broadsides Collection,"Price List', 'Education and Coed",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r47942m36,,,North Carolina College
Premium List of the Sumner County Fair,Premium List of the Sumner County Fair,1869,Sumner County Fair,Advertising Ephemera Collection,"Price List', 'Expositions, Fairs, etc.",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4hh6dv86,,,Sumner County
Sylvan Academy,Sylvan Academy,1869,,Broadsides Collection,"Price List', 'Education",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nw9x,,,Sylvan Academy
The Old North State Forever!,The Old North State Forever!,1869,,Broadsides Collection,Paints and Dyes,,,advertisements,https://idn.duke.edu/ark:/87924/r45719c5g,D-53   ad required two scans due to size.,,"E. A. Vogler, Agent"
The Priest and Nun,The Priest and Nun,1869,,Broadsides Collection,Books,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ms3mq7z,female author,,Crittenden & Mc Kinney
Trustee Sale,Trustee Sale,1869,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4p26rs90,,,John R. Kilby
"Description, Testimonials and Directions of the Celebrated Home Washer","Description, Testimonials and Directions of the Celebrated Home Washer",circa 1869,Celebrated Home Washer,Advertising Ephemera Collection,Household Appliances,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4nk37t9z,product: washing machines,,Home Mfg. Co.
The Southern Marseillaise.,The Southern Marseillaise.,1860s,,Broadsides Collection,"Price List', 'Music and Pianos",,,advertisements,https://idn.duke.edu/ark:/87924/r43n2241d,Conf. D9,,A. E. Blackmar & Bro.
Dixon House,Dixon House,1870,,Broadsides Collection,Hotels and Restaurants,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4f18v48g,,,Dixon House
East Bay,East Bay,1870,,Broadsides Collection,Estate Sale,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tt4hm0k,,,Gen. C. C. Pinckney
Florida Water,Florida Water,1870,,Broadsides Collection,Perfumes and Cosmetics,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k35p33b,,,Lanman & Kemp
General Stonewall Jackson,General Stonewall Jackson,1870,,Broadsides Collection,Historic Monuments,,,advertisements,https://idn.duke.edu/ark:/87924/r4pv6d112,,,W. W. Bostwick
Georgia Screw Co. - Wright's Patent,"""Georgia Screw Co. - Wright's Patent""",1870,,Broadsides Collection,"Price List', 'Machinery and Tools",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4hq3tm9f,,,Georgia Screw Co. (Agent: W. Chambers)
"Grand, Square and Upright Pianos","Grand, Square and Upright Pianos",1870,Pianos,Advertising Ephemera Collection,Musical Instruments,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4w66bz3m,calendar,,Chickering & Sons
"Huntemuller & Cousins, Wholesale Dealers In Fish, Cheese, Vinegar, &c., &c., No. 55 South Street, Baltimore.","Huntemuller & Cousins, Wholesale Dealers In Fish, Cheese, Vinegar, &c., &c., No. 55 South Street, Baltimore.",1870,,Broadsides Collection,"Price List', 'Commission Merchants",,,advertisements,https://idn.duke.edu/ark:/87924/r4cc0wh17,,,Huntemuller & Cousins
Improved Alligator Cotton Tie,Improved Alligator Cotton Tie,1870,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4wm15h0h,,,"W. Chambers, Agent"
J. W. Blackman's Commercial College,"""J. W. Blackman's Commercial College""",1870,,Broadsides Collection,"Price List', 'Education",,,advertisements,https://idn.duke.edu/ark:/87924/r41835s0n,,,"""J. W. Blackman's Commercial College"""
Lands for Sale,Lands for Sale,1870,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4sq8s850,describes location and condition of land,,Col. William B. Whitehead
McLoughlin's Toys for Girls and Boys!,"""McLoughlin's Toys for Girls and Boys!""",1870,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4hq3tp7c,,,McLoughlin Brothers
"Peremptory sale of Stage Coaches, Horses & Harness","Peremptory sale of Stage Coaches, Horses & Harness",1870,,Broadsides Collection,Carriages and Wagons,,,advertisements,https://idn.duke.edu/ark:/87924/r4h41md09,,,Sheriff of Bath County
Proclamation!,Proclamation!,1870,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r44748k05,humorous,,unknown
"The Advantages of ""Wright's patent Improved Iron Screw""","The Advantages of ""Wright\'s patent Improved Iron Screw""",1870,,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4pn90420,,,"W. Chambers, Agent"
The Men Who Advertise,,1870,,Early Advertising Publications,"Famous People--P. T. Barnum', 'Samuel R. Wells', 'Madame Demorest",,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d33n,E#18154. Images of selected pages from this item are available. Chapter headings:  Phineas T. Barnum -  Union Pacific Railroad The Pacific Railroad Advertising -  Samuel R. Wells -  Steinway & Sons -  Systematic Advertising -  Writing Advertisements -  Advantages of an Advertising Agency -  Madame Demorest -  The Patent Medicine Business -  Advertising And Its Results -  An Inside View Of An Advertising Agency: Geo. P. Rowell & Co..,,"Pacific Railroad', 'Steinway and Sons', 'George P. Rowell and Co."
Two Million Acres,Two Million Acres,1870,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4j96205n,"""on bottom, Chattanooga, TN is crossed out and replaced with a city from AL; can't decipher handwriting""",,Alabama & Chattanooga Railroad Co.
White & Co.,White & Co.,1870,,Broadsides Collection,"Price List', 'Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r45b00t95,price list for store goods.,,White & Co.
Metamorphic Trade Card,,1870 to 1872,"""Blackwell's Genuine Durham Tobacco""",Tobacco Advertising,"Leaders', 'Generals', 'Famous People--Samuel J. Tilden, Ulysses S. Grant",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4jm2562q,"flip down card depicting likely candidates for the 1872 election, Tilden and Grant (Rutherford B. Hayes actually won the Republican nomination)",,W. T. Blackwell
A Very Important Invention!  The Downer Mineral Sperm Oil & Lamps.,A Very Important Invention!  The Downer Mineral Sperm Oil & Lamps.,circa 1870,Lamps and Lamp Oil,Advertising Ephemera Collection,Lighting,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4db7xd4c,Includes testimonials.  Company has a New York office.  also a second company-Corry Kerosene Oil Works in Corry PA.  also lists importers and dealers.,,Downer Kerosene Oil Company
Important to Farmers and Planters,Important to Farmers and Planters,circa 1870,"""Merryman's Raw Bone Super-Phosphate""",Advertising Ephemera Collection,Fertilizers,,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4x060302,selected images.,,O. P. Merryman & Co.
"Fine Carriages, Wagons, etc.","Fine Carriages, Wagons, etc.",circa 1870 to circa 1879,Studebaker,Advertising Ephemera Collection,"Carriages, Buggies, etc.",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wk6j,"stamped with:  Compliments of ... Augusta, Georgia.  includes color drawing by Gray Parker. May be found in ""Auto and Roads"" folders.",,Studebaker Bros. Mfg. Co.
"T.C. Bass, Attorney at Law","T.C. Bass, Attorney at Law",circa 1870 to circa 1879,Abstract of Title and General Land Agent,Advertising Ephemera Collection,Attorneys,,,advertisements,https://idn.duke.edu/ark:/87924/r4xd0sr1f,,,T. C. Bass
"Armstrong, Cator & Co.  237 & 239 W. Baltimore St.","Armstrong, Cator & Co.  237 & 239 W. Baltimore St.",1871,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4mp4xc5k,"clothing list present, but no prices listed.",,"Armstrong, Cator & Co."
Healds' Hygeian Home,"""Healds' Hygeian Home""",1871,,Broadsides Collection,Health Resorts,,,advertisements,https://idn.duke.edu/ark:/87924/r4zg6hz51,,,"""Healds' Hygeian Home"""
McCormick's Improved Prize Mower,"""McCormick's Improved Prize Mower""",1871,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'woodcuts (prints)",https://idn.duke.edu/ark:/87924/r4g15w266,"Includes instructions on assembling the mower.  Also lists everything sent in the package when a mower is ordered, including extras.",,C. H. McCormick & Bro.
